Sex,Age,Expectancy
m,0,79.64
m,1,78.9
m,2,77.91
m,3,76.93
m,4,75.93
m,5,74.94
m,6,73.95
m,7,72.95
m,8,71.96
m,9,70.96
m,10,69.96
m,11,68.96
m,12,67.97
m,13,66.97
m,14,65.98
m,15,64.99
m,16,64
m,17,63.02
m,18,62.04
m,19,61.06
m,20,60.09
m,21,59.12
m,22,58.15
m,23,57.18
m,24,56.21
m,25,55.24
m,26,54.27
m,27,53.3
m,28,52.34
m,29,51.37
m,30,50.4
m,31,49.44
m,32,48.47
m,33,47.51
m,34,46.54
m,35,45.58
m,36,44.62
m,37,43.66
m,38,42.7
m,39,41.75
m,40,40.79
m,41,39.84
m,42,38.89
m,43,37.95
m,44,37
m,45,36.06
m,46,35.12
m,47,34.18
m,48,33.25
m,49,32.32
m,50,31.4
m,51,30.48
m,52,29.56
m,53,28.65
m,54,27.74
m,55,26.84
m,56,25.95
m,57,25.06
m,58,24.18
m,59,23.31
m,60,22.44
m,61,21.59
m,62,20.74
m,63,19.91
m,64,19.08
m,65,18.27
m,66,17.46
m,67,16.67
m,68,15.9
m,69,15.14
m,70,14.39
m,71,13.66
m,72,12.94
m,73,12.25
m,74,11.57
m,75,10.91
m,76,10.27
m,77,9.65
m,78,9.05
m,79,8.47
m,80,7.92
m,81,7.39
m,82,6.89
m,83,6.4
m,84,5.95
m,85,5.52
m,86,5.11
m,87,4.74
m,88,4.39
m,89,4.08
m,90,3.8
m,91,3.56
m,92,3.36
m,93,3.21
m,94,3.07
m,95,2.95
m,96,2.8
m,97,2.62
m,98,2.39
m,99,2.07
m,100,1.96
m,101,1.82
m,102,1.63
m,103,1.38
m,104,1.04
m,105,0.55
f,0,83.42
f,1,82.68
f,2,81.69
f,3,80.7
f,4,79.7
f,5,78.71
f,6,77.71
f,7,76.72
f,8,75.72
f,9,74.73
f,10,73.73
f,11,72.73
f,12,71.74
f,13,70.74
f,14,69.74
f,15,68.75
f,16,67.75
f,17,66.76
f,18,65.77
f,19,64.78
f,20,63.8
f,21,62.81
f,22,61.82
f,23,60.83
f,24,59.84
f,25,58.85
f,26,57.86
f,27,56.87
f,28,55.89
f,29,54.9
f,30,53.92
f,31,52.93
f,32,51.95
f,33,50.97
f,34,49.99
f,35,49.01
f,36,48.03
f,37,47.05
f,38,46.07
f,39,45.09
f,40,44.12
f,41,43.15
f,42,42.17
f,43,41.2
f,44,40.24
f,45,39.27
f,46,38.31
f,47,37.35
f,48,36.4
f,49,35.45
f,50,34.5
f,51,33.56
f,52,32.62
f,53,31.69
f,54,30.76
f,55,29.84
f,56,28.93
f,57,28.02
f,58,27.11
f,59,26.21
f,60,25.32
f,61,24.43
f,62,23.55
f,63,22.68
f,64,21.82
f,65,20.96
f,66,20.11
f,67,19.27
f,68,18.43
f,69,17.61
f,70,16.79
f,71,15.99
f,72,15.2
f,73,14.42
f,74,13.65
f,75,12.9
f,76,12.16
f,77,11.45
f,78,10.75
f,79,10.07
f,80,9.41
f,81,8.78
f,82,8.17
f,83,7.59
f,84,7.04
f,85,6.52
f,86,6.03
f,87,5.56
f,88,5.13
f,89,4.73
f,90,4.36
f,91,4.02
f,92,3.7
f,93,3.41
f,94,3.14
f,95,2.89
f,96,2.65
f,97,2.41
f,98,2.16
f,99,1.88
f,100,1.79
f,101,1.68
f,102,1.55
f,103,1.36
f,104,1.07
f,105,0.61
f,0,79.64
f,1,78.9
f,5,74.94
f,10,69.96
f,15,64.99
f,20,60.09
f,25,55.24
f,30,50.4
f,35,45.58
f,40,40.79
Sex,45,36.06
m,50,31.4
m,55,26.84
m,60,22.44
m,65,18.27
m,70,14.39
m,75,10.91
m,80,7.92
m,85,5.52
m,90,3.8
m,95,2.95
m,100,1.96
m,105,0.55
m,0,83.42
m,1,82.68
m,5,78.71
m,10,73.73
m,15,68.75
m,20,63.8
m,25,58.85
m,30,53.92
m,35,49.01
m,40,44.12
m,45,39.27
m,50,34.5
m,55,29.84
m,60,25.32
m,65,20.96
m,70,16.79
m,75,12.9
m,80,9.41
m,85,6.52
m,90,4.36
m,95,2.89
m,100,1.79
m,105,0.61
